,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind speed
0,Esperance,90,AU,1563909008,100,-33.86,121.89,53.6,5.82
1,Perth,20,AU,1563908900,100,-31.95,115.86,52.0,3.36
2,Linkoping,56,SE,1563909068,77,58.41,15.62,69.8,4.7
3,Grindavik,40,IS,1563909068,67,63.84,-22.43,59.0,10.29
4,Anloga,20,GH,1563909068,83,5.79,0.9,78.8,13.87
5,Oranjemund,53,NA,1563909069,81,-28.55,16.43,56.5,15.26
6,Beringovskiy,76,RU,1563909069,58,63.05,179.32,49.66,2.04
7,Araouane,0,ML,1563909069,18,18.9,-3.53,105.1,5.01
8,Amapa,11,BR,1563909069,39,-1.83,-56.23,93.58,6.44
9,Kidal,19,ML,1563909069,17,18.44,1.41,104.02,4.5
10,Nalut,0,LY,1563909070,20,31.86,10.98,87.28,14.81
11,Pechenga,38,RU,1563909070,92,58.89,41.46,58.48,5.19
12,Torbay,90,CA,1563909070,72,47.66,-52.73,68.0,10.29
13,Bethel,90,US,1563909070,77,60.79,-161.76,59.0,9.04
14,Barrow,40,US,1563909070,44,39.51,-90.4,82.0,9.17
15,East London,20,ZA,1563908831,72,-33.02,27.91,62.6,33.33
16,Yerbogachen,100,RU,1563909071,61,61.28,108.01,61.18,6.78
17,Lundazi,0,ZM,1563909071,64,-12.29,33.17,53.62,3.58
18,Baruun-Urt,84,MN,1563909071,93,46.68,113.28,59.02,14.18
19,Ambilobe,15,MG,1563909071,62,-13.19,49.05,68.38,6.38
20,Pisco,0,PE,1563909072,30,-13.71,-76.2,71.6,11.41
21,Jalu,0,LY,1563909072,30,29.03,21.55,88.0,22.19
22,Maningrida,6,AU,1563909072,75,-12.05,134.23,57.4,8.25
23,Oyama,90,JP,1563909072,94,36.31,139.8,77.0,3.36
24,Kologriv,58,RU,1563909072,92,58.83,44.31,57.58,2.1
25,Santa Cruz,20,CR,1563909072,55,10.26,-85.58,89.6,11.41
26,Narsaq,40,GL,1563909073,58,60.91,-46.05,59.0,11.41
27,Mahibadhoo,67,MV,1563909073,76,3.78,72.97,82.96,10.29
28,Rio Grande,90,BR,1563909073,100,-32.03,-52.1,60.8,10.22
29,Alice Springs,0,AU,1563908855,45,-23.7,133.88,42.8,2.24
30,Lewistown,40,US,1563909073,47,40.39,-90.15,84.0,13.87
31,Idah,100,NG,1563909074,95,7.11,6.73,73.96,5.97
32,Hualmay,100,PE,1563909074,87,-11.1,-77.61,61.36,19.93
33,Barcelona,93,PH,1563909074,87,12.87,124.14,78.1,6.22
34,Kathmandu,75,NP,1563909074,94,27.71,85.32,73.4,3.62
35,Vanimo,100,PG,1563909075,77,-2.67,141.3,80.44,5.97
36,Mount Gambier,75,AU,1563909049,87,-37.83,140.78,42.8,8.05
37,Cap Malheureux,75,MU,1563909075,88,-19.98,57.61,69.8,13.87
38,Arlit,45,NE,1563909075,33,18.74,7.39,93.94,14.07
39,Bluff,0,NZ,1563909075,98,-46.6,168.33,35.01,1.99
40,Port Augusta,90,AU,1563909076,87,-32.49,137.76,55.4,2.24
41,Vaini,75,TO,1563909076,100,-21.2,-175.2,62.6,10.02
42,Hay River,75,CA,1563909076,64,60.82,-115.79,73.4,18.34
43,Butaritari,100,KI,1563909076,70,3.07,172.79,84.94,9.57
44,Buala,88,SB,1563909076,84,-8.15,159.59,78.28,16.02
45,Sechura,34,PE,1563909077,89,-5.56,-80.82,63.7,12.73
46,Port Moresby,12,PG,1563909077,78,-9.47,147.16,77.02,30.04
47,Dzhebariki-Khaya,0,RU,1563909077,58,62.22,135.8,48.04,2.77
48,Iqaluit,20,CA,1563909077,81,63.75,-68.52,42.8,5.82
49,Cidreira,100,BR,1563909077,85,-30.17,-50.22,69.64,1.86
50,Velke Mezirici,0,CZ,1563909078,44,49.36,16.01,80.01,5.82
51,Gimbi,38,ET,1563909078,91,8.81,37.79,54.88,1.14
52,Ancud,40,CL,1563909078,57,-41.87,-73.83,50.0,4.7
53,Busselton,100,AU,1563909078,67,-33.64,115.35,57.0,9.84
54,Ponca City,1,US,1563909078,28,36.73,-97.07,84.2,11.41
55,Port Elizabeth,20,ZA,1563909079,87,-33.92,25.57,53.6,25.28
56,Nizhnyaya Tavda,6,RU,1563909079,93,57.67,66.17,60.46,4.05
57,Tadine,37,NC,1563909079,69,-21.55,167.88,68.02,18.39
